127.0.0.1 - - [15/Jul/2023:14:33:44 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:33:45 +0530] "GET /jspdemo/ HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:33:46 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:41:33 +0530] "GET /jspdemo/ HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:47:05 +0530] "GET /jspdemo/ HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/Jul/2023:14:47:09 +0530] "GET /jspdemo/ HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [15/Jul/2023:15:10:56 +0530] "GET /jspdemo/helloworld.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [15/Jul/2023:15:11:58 +0530] "GET /jspdemo/helloworld.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [15/Jul/2023:15:13:00 +0530] "GET /jspdemo/helloworld.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [15/Jul/2023:15:13:02 +0530] "GET /jspdemo/helloworld.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [15/Jul/2023:15:13:04 +0530] "GET /jspdemo/helloworld.jsp HTTP/1.1" 404 744
0:0:0:0:0:0:0:1 - - [15/Jul/2023:15:13:07 +0530] "GET /jspdemo/helloworld.jsp HTTP/1.1" 404 744
